product_name,week_mean,week_lower,week_upper,month_mean,month_lower,month_upper,lead_mean,sigma_d,safety_stock,current_stock_est,reorder_qty
Craft Beer (Draft),355.515731874145,120.23922277760093,590.7922409706891,1523.6388508891928,515.310954761147,2531.9667470172385,355.515731874145,20.43399444194221,88.92616177212594,27515.0,0.0
House Wine (Glass),273.1819425444596,92.43523173832918,453.9286533505899,1170.77975376197,396.15099316426796,1945.408514359672,273.1819425444596,15.69802824002397,68.31583529799029,19459.0,0.0
Pasta Carbonara,241.75376196990422,100.49388511847611,383.0136388213324,1036.0875512995897,430.6880790791831,1641.4870235199958,241.75376196990422,12.268558172405841,53.391214911498366,19077.0,0.0
Grilled Chicken Breast,221.88372093023258,85.33550153976657,358.4319403206985,950.9302325581393,365.7235780275709,1536.1368870887081,221.88372093023258,11.859346123402986,51.61037578226583,16885.0,0.0
Caesar Salad Mix,206.65800273597813,86.1676163749604,327.14838909699586,885.6771545827635,369.28978446411594,1402.0645247014108,206.65800273597813,10.464707652552766,45.54108538362024,13947.0,0.0
French Onion Soup,185.5909712722298,90.69535544528111,280.4865870991785,795.3898768809851,388.6943804797762,1202.0853732821938,185.5909712722298,8.24177685149544,35.86717142691875,12633.0,0.0
Tiramisu Dessert,163.3077975376197,72.34914311094148,254.26645196429791,699.8905608755132,310.06775618974916,1089.713365561277,163.3077975376197,7.899847911457244,34.37913988600785,11211.0,0.0
Chocolate Lava Cake,146.07113543091654,64.6481998100308,227.49407105180222,626.019151846785,277.06371347156056,974.9745902220096,146.07113543091654,7.071661426432804,30.774976952812313,8872.0,0.0
Ribeye Steak,145.49658002735978,64.40088492224226,226.59227513247725,623.5567715458278,276.00379252389536,971.1097505677598,145.49658002735978,7.043240268255718,30.65129166372272,8805.0,0.0
Fresh Salmon Fillet,139.36798905608754,53.39303336487683,225.3429447472983,597.2913816689464,228.8272858494721,965.7554774884212,139.36798905608754,7.467008812254741,32.49547881982012,5408.0,0.0
Ice Cream Sundae,132.08071135430916,23.20309280904547,240.9583298995728,566.0601915184678,99.44182632448056,1032.678556712455,132.08071135430916,9.456127433839514,41.15187171596026,6313.0,0.0
Lobster Tail,83.30095759233926,25.94961430150376,140.65230088317477,357.0041039671684,111.21263272073043,602.7955752136061,83.30095759233926,4.981020138997235,21.67677024329192,829.0,0.0
